Placename,Filename,Filename.1,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio,Trove_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,snippet,url,page_url
BENDIGO,LOCATION,18650306-13-5736667 (1 of 2).txt,BENDIGO,VIC,-36.76552472,144.280931,100,13,"MONDAY, MARCH 6, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-06,Article,9643,N,4,"It would be an impertinence to disclaim all feelings of gratification at the result of the trial of Urquhart versus The Argus. At the same time, we should",https://nla.gov.au/nla.news-article5736667,http://trove.nla.gov.au/newspaper/page/211179
ECHUCA,LOCATION,18650103-13-5737139 (1 of 1).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,100,13,"TUESDAY, JANUARY, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-01-03,Article,4806,N,9,"In the petition of the Judges, presented to the Assembly on the 21st ult. by Mr. O'SHANASSY, their Honours pray the House not to pass the Supreme",https://nla.gov.au/nla.news-article5737139,http://trove.nla.gov.au/newspaper/page/214490
PORT ALBERT,LOCATION,18650103-13-5737139 (1 of 1).txt,PORT ALBERT,VIC,-38.65290554,146.69692859999998,100,13,"TUESDAY, JANUARY, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-01-03,Article,4806,N,9,"In the petition of the Judges, presented to the Assembly on the 21st ult. by Mr. O'SHANASSY, their Honours pray the House not to pass the Supreme",https://nla.gov.au/nla.news-article5737139,http://trove.nla.gov.au/newspaper/page/214490
MELBOURNE,LOCATION,18650103-13-5737139 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"TUESDAY, JANUARY, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-01-03,Article,4806,N,9,"In the petition of the Judges, presented to the Assembly on the 21st ult. by Mr. O'SHANASSY, their Honours pray the House not to pass the Supreme",https://nla.gov.au/nla.news-article5737139,http://trove.nla.gov.au/newspaper/page/214490
ECHUCA,LOCATION,18650103-13-5737139 (1 of 1).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,100,13,"TUESDAY, JANUARY, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-01-03,Article,4806,N,9,"In the petition of the Judges, presented to the Assembly on the 21st ult. by Mr. O'SHANASSY, their Honours pray the House not to pass the Supreme",https://nla.gov.au/nla.news-article5737139,http://trove.nla.gov.au/newspaper/page/214490
MELBOURNE,LOCATION,18650228-13-5738103 (2 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
MELBOURNE,LOCATION,18650228-13-5738103 (2 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
SANDHURST,LOCATION,18650228-13-5738103 (2 of 3).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
MELBOURNE,LOCATION,18650228-13-5738103 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
MELBOURNE,LOCATION,18650228-13-5738103 (1 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
SANDHURST,LOCATION,18650228-13-5738103 (1 of 3).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
MELBOURNE,LOCATION,18650228-13-5738103 (3 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
MELBOURNE,LOCATION,18650228-13-5738103 (3 of 3).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
SANDHURST,LOCATION,18650228-13-5738103 (3 of 3).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,"TUESDAY, FEBRUARY 28, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-02-28,Article,10606,N,23,The periodical publication of the returns of the various banks of issue established in the colony would convey to a stranger the impression not only,https://nla.gov.au/nla.news-article5738103,http://trove.nla.gov.au/newspaper/page/211137
TARADALE,LOCATION,18650301-13-5739044 (2 of 12).txt,TARADALE,NSW,-35.66639414,147.95284030000002,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
TARADALE,LOCATION,18650301-13-5739044 (2 of 12).txt,TARADALE,NSW,-35.66639414,147.95284030000002,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
TARADALE,LOCATION,18650301-13-5739044 (2 of 12).txt,TARADALE,NSW,-35.66639414,147.95284030000002,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
TARADALE,LOCATION,18650301-13-5739044 (2 of 12).txt,TARADALE,NSW,-35.66639414,147.95284030000002,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (8 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (8 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (7 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (7 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (6 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (6 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
TARADALE,LOCATION,18650301-13-5739044 (1 of 12).txt,TARADALE,NSW,-35.66639414,147.95284030000002,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
TARADALE,LOCATION,18650301-13-5739044 (1 of 12).txt,TARADALE,NSW,-35.66639414,147.95284030000002,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (9 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (9 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
ECHUCA,LOCATION,18650301-13-5739044 (11 of 12).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
GOORNONG,LOCATION,18650301-13-5739044 (11 of 12).txt,GOORNONG,VIC,-36.62280943,144.51912219999997,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
RUNNYMEDE,LOCATION,18650301-13-5739044 (11 of 12).txt,RUNNYMEDE,QLD,-26.60565237,152.0615971,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (11 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
SANDHURST,LOCATION,18650301-13-5739044 (11 of 12).txt,SANDHURST,VIC,-38.08599133,145.2095392,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
ECHUCA,LOCATION,18650301-13-5739044 (10 of 12).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
GOORNONG,LOCATION,18650301-13-5739044 (10 of 12).txt,GOORNONG,VIC,-36.62280943,144.51912219999997,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
RUNNYMEDE,LOCATION,18650301-13-5739044 (10 of 12).txt,RUNNYMEDE,QLD,-26.60565237,152.0615971,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
LITTLE RIVER,LOCATION,18650301-13-5739044 (12 of 12).txt,LITTLE RIVER,VIC,-37.96214019,144.5112793,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
ERCILDOUN,LOCATION,18650301-13-5739044 (12 of 12).txt,ERCILDOUNE,VIC,-37.43694037,143.5617642,100,13,BLACK MONDAY. BUSH FIRES.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-01,Article,3336,N,24,"The reports already to hand provs that the destruction of property in the hot wind and fires of Monday last, and the preceding days, has been very great. Monday will be marked",https://nla.gov.au/nla.news-article5739044,http://trove.nla.gov.au/newspaper/page/211148
MELBOURNE,LOCATION,18650315-13-5740054 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"PARLIAMENT. LEGISLATIVE COUNCIL. Tuesday, March 14.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6,1865-03-15,Article,15501,N,1,"The President took the chair at thirteen minutes past four o'clock, and read the usual form of prayer. THE URQUHART SCAB CASE.",https://nla.gov.au/nla.news-article5740054,http://trove.nla.gov.au/newspaper/page/211251
MAJORCA,LOCATION,18641124-13-5742103 (2 of 2).txt,MAJORCA,VIC,-37.10682227,143.817593,100,13,"THURSDAY, NOVEMBER 24, 1864.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1864-11-24,Article,7806,N,6,"The scandal which for the last nine years has been festering, like a loathsome [?] under the surface of Melbourao society, has at length ripened and burst.",https://nla.gov.au/nla.news-article5742103,http://trove.nla.gov.au/newspaper/page/214194
CHEWTON,LOCATION,18641124-13-5742103 (2 of 2).txt,CHEWTON,VIC,-37.10655654,144.25289990000002,100,13,"THURSDAY, NOVEMBER 24, 1864.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1864-11-24,Article,7806,N,6,"The scandal which for the last nine years has been festering, like a loathsome [?] under the surface of Melbourao society, has at length ripened and burst.",https://nla.gov.au/nla.news-article5742103,http://trove.nla.gov.au/newspaper/page/214194
BEALIBA,LOCATION,18641124-13-5742103 (2 of 2).txt,BEALIBA,VIC,-36.76624848,143.5762778,100,13,"THURSDAY, NOVEMBER 24, 1864.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1864-11-24,Article,7806,N,6,"The scandal which for the last nine years has been festering, like a loathsome [?] under the surface of Melbourao society, has at length ripened and burst.",https://nla.gov.au/nla.news-article5742103,http://trove.nla.gov.au/newspaper/page/214194
MAJORCA,LOCATION,18641124-13-5742103 (1 of 2).txt,MAJORCA,VIC,-37.10682227,143.817593,100,13,"THURSDAY, NOVEMBER 24, 1864.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1864-11-24,Article,7806,N,6,"The scandal which for the last nine years has been festering, like a loathsome [?] under the surface of Melbourao society, has at length ripened and burst.",https://nla.gov.au/nla.news-article5742103,http://trove.nla.gov.au/newspaper/page/214194
CHEWTON,LOCATION,18641124-13-5742103 (1 of 2).txt,CHEWTON,VIC,-37.10655654,144.25289990000002,100,13,"THURSDAY, NOVEMBER 24, 1864.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1864-11-24,Article,7806,N,6,"The scandal which for the last nine years has been festering, like a loathsome [?] under the surface of Melbourao society, has at length ripened and burst.",https://nla.gov.au/nla.news-article5742103,http://trove.nla.gov.au/newspaper/page/214194
SPRING-HILL,LOCATION,18650325-13-5742866 (2 of 2).txt,SPRING HILL,VIC,-37.31578188,144.3299759,91,13,BLACK MONDAY.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",1 S,1865-03-25,Article,760,N,1,"Monday, February 27, 1865—hereafter to be styled ""Black Monday"" in the annals of Victoria—was a day which will not soon pass from the memory of those who endured its",https://nla.gov.au/nla.news-article5742866,http://trove.nla.gov.au/newspaper/page/211338
MELBOURNE,LOCATION,18650325-13-5742866 (2 of 2).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,BLACK MONDAY.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",1 S,1865-03-25,Article,760,N,1,"Monday, February 27, 1865—hereafter to be styled ""Black Monday"" in the annals of Victoria—was a day which will not soon pass from the memory of those who endured its",https://nla.gov.au/nla.news-article5742866,http://trove.nla.gov.au/newspaper/page/211338
CHEWTON,LOCATION,18650325-13-5742893 (1 of 2).txt,CHEWTON,VIC,-37.10655654,144.25289990000002,100,13,"SATURDAY, MARCH 25, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-25,Article,7769,N,5,""" We are to relinquish the controlling check of the Upper House; wo are to constitute one over-ruling, privileged, democratic body, and to trust it with an authority,",https://nla.gov.au/nla.news-article5742893,http://trove.nla.gov.au/newspaper/page/211333
BEECHWORTH,LOCATION,18650325-13-5742893 (1 of 2).txt,BEECHWORTH,VIC,-36.34129804,146.6902532,100,13,"SATURDAY, MARCH 25, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-25,Article,7769,N,5,""" We are to relinquish the controlling check of the Upper House; wo are to constitute one over-ruling, privileged, democratic body, and to trust it with an authority,",https://nla.gov.au/nla.news-article5742893,http://trove.nla.gov.au/newspaper/page/211333
HEYWOOD,LOCATION,18650325-13-5742893 (2 of 2).txt,HEYWOOD,VIC,-38.13634764,141.7471429,100,13,"SATURDAY, MARCH 25, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-25,Article,7769,N,5,""" We are to relinquish the controlling check of the Upper House; wo are to constitute one over-ruling, privileged, democratic body, and to trust it with an authority,",https://nla.gov.au/nla.news-article5742893,http://trove.nla.gov.au/newspaper/page/211333
WOODEND,LOCATION,18650325-13-5742893 (2 of 2).txt,WOODEND,QLD,-27.59871257,152.75167390000001,100,13,"SATURDAY, MARCH 25, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-25,Article,7769,N,5,""" We are to relinquish the controlling check of the Upper House; wo are to constitute one over-ruling, privileged, democratic body, and to trust it with an authority,",https://nla.gov.au/nla.news-article5742893,http://trove.nla.gov.au/newspaper/page/211333
MOUNT BOLTON,LOCATION,18650303-13-5743011 (1 of 1).txt,MOUNT BOLTON,VIC,-37.35510714,143.67574580000002,100,13,BALLARAT. (FROM OUR OWN CORRESPONDEMENT.) THURSDAY EVENING. MARCH 2.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",7,1865-03-03,Article,396,N,0,"At the Corner there has been considerable inquiry for St. George United[?] Wombat [?]reek Extension, Havelock, Lalla Rook[?] Defiance, and Cap[?] Clear; some of these names",https://nla.gov.au/nla.news-article5743011,http://trove.nla.gov.au/newspaper/page/211164
ECHUCA,LOCATION,18650303-13-5743030 (1 of 1).txt,ECHUCA,VIC,-36.18245189,144.71124030000001,100,13,"SANDHURST. (FROM OUR OWN CORRESPONDENT.) THURSDAY EVENING, MARCH 2.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",5,1865-03-03,Article,430,N,0,"The rain which appeared ready to fall at the date of my last communication still holds off, and the want of it is severely felt in all branches of business. Most of the reefs have",https://nla.gov.au/nla.news-article5743030,http://trove.nla.gov.au/newspaper/page/211162
ADELAIDE,LOCATION,18650303-13-5743034 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.60388390000003,100,13,"FRIDAY, MARCH 3[?] 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-03,Article,7682,N,3,"In the Legislative Assembly yesterday, Mr. VERDON stated, in reply to Mr. Casey, that no definite reply had yet been received to his application to the home Government",https://nla.gov.au/nla.news-article5743034,http://trove.nla.gov.au/newspaper/page/211161
CHEWTON,LOCATION,18650303-13-5743034 (1 of 1).txt,CHEWTON,VIC,-37.10655654,144.25289990000002,100,13,"FRIDAY, MARCH 3[?] 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-03,Article,7682,N,3,"In the Legislative Assembly yesterday, Mr. VERDON stated, in reply to Mr. Casey, that no definite reply had yet been received to his application to the home Government",https://nla.gov.au/nla.news-article5743034,http://trove.nla.gov.au/newspaper/page/211161
ARARAT,LOCATION,18650125-13-5745007 (1 of 1).txt,ARARAT,VIC,-37.30897256,142.9230965,100,13,SUMMARY FOR EUROPE. INTRODUCTION.,13,"The Argus (Melbourne, Vic. : 1848 - 1957)",1 S,1865-01-25,Article,27025,N,4,"The political history of the past month has been confined to two events, which are, however, of the highest importance to the future social and commercial",https://nla.gov.au/nla.news-article5745007,http://trove.nla.gov.au/newspaper/page/210890
WERRIBEE,LOCATION,18650119-13-5745234 (1 of 2).txt,WERRIBEE,VIC,-37.89800171,144.65057240000002,100,13,"THURSDAY, JANUARY 19, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-01-19,Article,6296,N,22,"In congratulating the colonists upon the victory which has been gained over the Imperial Government in the matter of transportation, we trust we can do",https://nla.gov.au/nla.news-article5745234,http://trove.nla.gov.au/newspaper/page/214604
LONGWOOD,LOCATION,18650119-13-5745234 (2 of 2).txt,LONGWOOD,SA,-35.03620036,138.72843980000002,100,13,"THURSDAY, JANUARY 19, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-01-19,Article,6296,N,22,"In congratulating the colonists upon the victory which has been gained over the Imperial Government in the matter of transportation, we trust we can do",https://nla.gov.au/nla.news-article5745234,http://trove.nla.gov.au/newspaper/page/214604
ADELAIDE,LOCATION,18650119-13-5745234 (2 of 2).txt,ADELAIDE,SA,-34.92373985,138.60388390000003,100,13,"THURSDAY, JANUARY 19, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-01-19,Article,6296,N,22,"In congratulating the colonists upon the victory which has been gained over the Imperial Government in the matter of transportation, we trust we can do",https://nla.gov.au/nla.news-article5745234,http://trove.nla.gov.au/newspaper/page/214604
GOOLWA,LOCATION,18640319-13-5745931 (1 of 1).txt,GOOLWA,SA,-35.50263835,138.78506430000002,100,13,INTERCOLONIAL NEWS. NEW ZEALAND. OTAGO. (FROM THE DAILY TIMES.),13,"The Argus (Melbourne, Vic. : 1848 - 1957)",6,1864-03-19,Article,3764,N,1,"ARRIVAL OT THE ESCORT.—The gold escort arrived in town yesterday afternoon shortly after four o'clock, bringing gold as follows:— oz dwt.",https://nla.gov.au/nla.news-article5745931,http://trove.nla.gov.au/newspaper/page/212113
CHEWTON,LOCATION,18650323-13-5746104 (2 of 2).txt,CHEWTON,VIC,-37.10655654,144.25289990000002,100,13,"THURSDAY, MARCh 23, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-23,Article,7929,N,2,"In the Legislative Assembly, yesterday, The Sandhurst, Inglewood, and Loddon District Tramway Company's Bill was further considered in committee. Sixteen",https://nla.gov.au/nla.news-article5746104,http://trove.nla.gov.au/newspaper/page/211313
MELBOURNE,LOCATION,18650323-13-5746104 (2 of 2).txt,MELBOURNE,VIC,-37.81351305,144.96908249999998,100,13,"THURSDAY, MARCh 23, 1865.",13,"The Argus (Melbourne, Vic. : 1848 - 1957)",4,1865-03-23,Article,7929,N,2,"In the Legislative Assembly, yesterday, The Sandhurst, Inglewood, and Loddon District Tramway Company's Bill was further considered in committee. Sixteen",https://nla.gov.au/nla.news-article5746104,http://trove.nla.gov.au/newspaper/page/211313
