Placename,Filename,longitude,latitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id,Status,Trove Title,Narrative Foreground/Background,url,Newspaper,Author,Start Date,End Date,Bushfire_Location
London,14878_28_3_1874_418_XIII_SHOCKING NEWS FOR KATE._162481106.txt,-0.127758,51.5074,No best estimate,0,0,1,100,exact,14878,Matching,"Kate Mayson; or, Whirls on the Way to Fortune",Part of Speech,https://trove.nla.gov.au/newspaper/article/162481106,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),Old Boomerang,1874-02-21,1874-05-16,None
Port Jackson,14782_27_8_1881_3_I_CHIARO-OSCURO-SOCIAL AND MORAL._170022803.txt,151.2677778,-33.83166667,NSW,0,0,1,100,exact,14782,Matching,The Bronze Chalice. An Australian Tale,Narrative Background,https://trove.nla.gov.au/newspaper/article/170022803,"Advocate (Melbourne, Vic. : 1868 - 1954)","Moore, J. S.",1881-08-27,1881-09-03,near Port Jackson
Mount Hopeful,14746_24_12_1892_41_I__160801615.txt,147.8193054,-29.89481098,Ambiguous,7.436487281,7.40032833,3,,exact,14746,Matching,An Episode in the Career of Billy Martin,Narrative Background,https://trove.nla.gov.au/newspaper/article/160801615,Adelaide Observer (SA : 1843 - 1904),Paddy Melon,1892-12-24,1892-12-24,Mt Hopeful (Qld?)
Auckland,14666_1_11_1879_734_3.VII_CARTERET TO THE RESCUE-PHOEBE HAS TO TELL._161874839.txt,150.3844444,-34.67333333,NSW,2.274206211,2.274206211,3,66.66666667,exact,14666,Matching,Eustace Egremont,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/161874839,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Pyke, Vincent",1879-09-20,1879-11-01,New Zealand
,,,,,,,,,,,Non-matching,Nil Desperandum! An Australian Novelette,Narrative Background,https://trove.nla.gov.au/newspaper/article/160164125,Adelaide Observer (SA : 1843 - 1904),"Lord, M. R. Stafford",1882-11-04,1882-12-16,near Paringa station
Melbourne,14616_2_12_1882_44_VI__160164386.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,14616,Matching,Nil Desperandum! An Australian Novelette,Narrative Background,https://trove.nla.gov.au/newspaper/article/160164386,Adelaide Observer (SA : 1843 - 1904),"Lord, M. R. Stafford",1882-11-04,1882-12-16,near Paringa station
Paringa,14616_16_12_1882_45_IX__160164812.txt,140.8022,-35.1343685,Ambiguous,3.844445133,2.330761789,8,,exact,14616,Matching,Nil Desperandum! An Australian Novelette,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/160164812,Adelaide Observer (SA : 1843 - 1904),"Lord, M. R. Stafford",1882-11-04,1882-12-16,Near Paringa station
New Zealand,14419_17_12_1890_7_V_A TERRIBLE ORDEAL_113745222.txt,,,None,,,0,,None,14419,Matching,Dark or Fair. A Story of Town and Country,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/113745222,"Evening News (Sydney, NSW : 1869 - 1931)","Wren, Jenny",1890-12-15,1890-12-17,outback NSW
New Zealand,14418_21_09_1889_31_V_A TERRIBLE ORDEAL._71123821.txt,,,None,,,0,,None,14418,Matching,Dark or Fair. A Story of Town and Country,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/71123821,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Wren, Jenny",1889-09-07,1889-10-12,outback NSW
Australia,14271_7_11_1891_1_XI__169576734.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,14271,Matching,The Devil's Own. An Australian Story,Narrative Background,https://trove.nla.gov.au/newspaper/article/169576734,The Bendigo Independent (Vic. : 1891 - 1918),"Henty, Mrs Richmond",1891-10-03,1892-06-25,
Newry,14271_5_12_1891_1_XVIII__169577434.txt,150.6261111,-30.49833333,Ambiguous,4.854432617,2.375,8,,exact,14271,Matching,The Devil's Own. An Australian Story,Narrative Background,https://trove.nla.gov.au/newspaper/article/169577434,The Bendigo Independent (Vic. : 1891 - 1918),"Henty, Mrs Richmond",1891-10-03,1892-06-25,
Kooky,14213_15_1_1876_2_II_Cattle driving. A rest in the bush. An Australian fog.The Rocky Springs_110991841.txt,,,None,,,0,,None,14213,Matching,"The Emigrant Family; or, The Story of an Australian Settler",Narrative Background,https://trove.nla.gov.au/newspaper/article/110991841,The Newcastle Chronicle (NSW : 1866 - 1876),"Harris, Alexander",1876-01-08,1876-04-25,On the road. to Mauaroo Plains
Australia,14200_5_8_1893_35_V__138658218.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,14200,Matching,One Christmas,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/138658218,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Hammill, Mrs Herbert",1893-07-08,1893-08-19,Australia
Murraystone,14105_24_1_1894_7_XXI_ROBSONS TREACHERY_120504242.txt,,,None,,,0,,None,14105,Matching,Stuck Up,Narrative Background,https://trove.nla.gov.au/newspaper/article/120504242,"Referee (Sydney, NSW : 1886 - 1939)","Gould, Nat",1893-09-06,1894-03-14,Murraystone
Murvaystono,14105_17_1_1894_7_XX_THIS BUSH FIRE_120505361.txt,,,None,,,0,,None,14105,Matching,Stuck Up,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/120505361,"Referee (Sydney, NSW : 1886 - 1939)","Gould, Nat",1893-09-06,1894-03-14,Murraystone
,,,,,,,,,,,Non-matching,Yarns on Olden Times,Narrative Background,https://trove.nla.gov.au/newspaper/article/160132866,Adelaide Observer (SA : 1843 - 1904),"Wilkinson, George Blakiston",1880-01-03,1880-06-12,
Australia,14042_8_5_1880_862_I__161877067.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,14042,Matching,"John Woodford; or, Mother and Son. An Australian Story",Narrative Background,https://trove.nla.gov.au/newspaper/article/161877067,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Foley, St Pierre",1880-05-08,1880-06-19,Warandilla
Australasia,14042_15_5_1880_902_III__161880545.txt,,,None,,,0,,None,14042,Matching,"John Woodford; or, Mother and Son. An Australian Story",Narrative Background,https://trove.nla.gov.au/newspaper/article/161880545,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Foley, St Pierre",1880-05-08,1880-06-19,Indeterminate
Blaeklock,13986_16_1_1896_7_IV_INTRODUCES THE READER TO MISS JULIA BELMONT_109916060.txt,,,None,,,0,,None,13986,Matching,The Sacrifice of Norman Grainger,Narrative Background,https://trove.nla.gov.au/newspaper/article/109916060,"Evening News (Sydney, NSW : 1869 - 1931)","Favenc, Ernest",1896-01-14,1896-01-18,
Australia,13984_31_3_1894_33_III__161801609.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,13984,Matching,A Message from the Desert,Part of Speech,https://trove.nla.gov.au/newspaper/article/161801609,Adelaide Observer (SA : 1843 - 1904),"Favenc, Ernest",1894-03-24,1894-03-31,
Northern Beach,13948_5_9_1896_504_III_GILBERT IN HIS TRUE COLOURS._163783808.txt,,,None,,,0,,None,13948,Matching,By a Northern Beach,Part of Speech,https://trove.nla.gov.au/newspaper/article/163783808,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Ewing, Thomas, M.L.A.",1896-08-29,1896-10-24,
turkey,13874_23_12_1882_12_I__160165001.txt,145.0333333,-19.81666667,QLD,0,0,1,100,exact,13874,Matching,Snapdragon. A Christmas Story,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/160165001,Adelaide Observer (SA : 1843 - 1904),"Duncan, Lindsay",1882-12-23,1882-12-23,South Australia
Belfast,13861_31_10_1896_2_III _A PROVINCIAL CAREER. BELFAST._111104168.txt,142.216948,-38.36500018,VIC,0.02475031,0.02475031,4,50,exact,13861,Matching,My Life in Two Hemispheres,Part of Speech,https://trove.nla.gov.au/newspaper/article/111104168,"Freeman's Journal (Sydney, NSW : 1850 - 1932)","Duffy, Charles Gavan",1896-09-26,1898-06-18,
Mompa,13836_18_9_1896_6_VI _THE BUSH FIRE._124813567.txt,,,None,,,0,,None,13836,Matching,Bonnie Australia,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/124813567,"Weekly Herald (Adelaide, SA : 1894 - 1898)","Dollman, Walter",1896-08-21,1896-09-25,
Mount,13768_18_5_1894_7_XVII__114077122.txt,,,None,,,0,,None,13768,Matching,Whose Crime?,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/114077122,"Evening News (Sydney, NSW : 1869 - 1931)","Dare, Demas",1894-04-28,1894-06-01,"numbr of locations, identifying sites in Victoria from Kilmore to the Otways"
Botany,13768_9_5_1894_7_XI__114077373.txt,151.2177778,-33.94833333,NSW,0.016666667,0.016666667,3,100,exact,13768,Matching,Whose Crime?,None,https://trove.nla.gov.au/newspaper/article/114077373,"Evening News (Sydney, NSW : 1869 - 1931)","Dare, Demas",1894-04-28,1894-06-01,
Botany,13768_8_5_1894_7_X_EUREKA!_114079150.txt,151.2177778,-33.94833333,NSW,0.016666667,0.016666667,3,100,exact,13768,Matching,Whose Crime?,None,https://trove.nla.gov.au/newspaper/article/114079150,"Evening News (Sydney, NSW : 1869 - 1931)","Dare, Demas",1894-04-28,1894-06-01,
Baijhurst,13768_23_5_1894_7_XXI __114079467.txt,,,None,,,0,,None,13768,Matching,Whose Crime?,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/114079467,"Evening News (Sydney, NSW : 1869 - 1931)","Dare, Demas",1894-04-28,1894-06-01,Victoria
Botany,13768_5_5_1894_7_VIII__114081312.txt,151.2177778,-33.94833333,NSW,0.016666667,0.016666667,3,100,exact,13768,Matching,Whose Crime?,None,https://trove.nla.gov.au/newspaper/article/114081312,"Evening News (Sydney, NSW : 1869 - 1931)","Dare, Demas",1894-04-28,1894-06-01,
Botany Bay,13768_3_5_1894_7_VI_THE EXCURSION_114083041.txt,151.1846111,-33.98166667,NSW,0.010642517,0.000166667,3,100,exact,13768,Matching,Whose Crime?,None,https://trove.nla.gov.au/newspaper/article/114083041,"Evening News (Sydney, NSW : 1869 - 1931)","Dare, Demas",1894-04-28,1894-06-01,
Lake Oolac,13768_19_5_1894_7_XVIII__114084906.txt,143.5973663,-38.30486298,VIC,0,0,1,100,fuzzy,13768,Matching,Whose Crime?,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/114084906,"Evening News (Sydney, NSW : 1869 - 1931)","Dare, Demas",1894-04-28,1894-06-01,"Mt Hesse, Colac"
Burraga,13652_17_12_1892_15_I__162189337.txt,149.5511111,-33.94541667,NSW,0.038669852,0.033433051,4,100,exact,13652,Matching,A Terrible Christmas Day. A True Story of the Olden Time,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/162189337,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Cohen, Philip",1892-12-17,1892-12-17,"Burruga Station, NE border New England Tableland"
Australasia,13556_24_1_1880_151_IV__161877924.txt,,,None,,,0,,None,13556,Matching,Estranged for Life,Narrative Background,https://trove.nla.gov.au/newspaper/article/161877924,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Cheeseman, Clara",1880-01-17,1880-05-01,"Mahiarangi District, New Zealand"
Melbourne,13537_30_4_1898_50_I__138665823.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,13537,Matching,A Little Hoyden,Narrative Background,https://trove.nla.gov.au/newspaper/article/138665823,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Carmichael, Jennings",1898-04-30,1898-04-30,
Coorindah,13337_19_12_1885_5_IV__138640575.txt,152.5341667,-25.95388889,QLD,0,0,1,100,exact,13337,Matching,The Final Choice; or. Pollie's Probation,Part of Speech,https://trove.nla.gov.au/newspaper/article/138640575,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Boldrewood, Rolf",1885-12-19,1885-12-19,
Bathurst,13336_2_6_1883_1015_LI__162080148.txt,149.5805556,-33.42416667,NSW,0.486084924,0.212091905,7,100,exact,13336,Matching,Robbery Under Arms,Part of Speech,https://trove.nla.gov.au/newspaper/article/162080148,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Boldrewood, Rolf",1882-07-01,1883-08-11,None
Sydney,13335_12_7_1884_42_VII__138092899.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,13335,Matching,Plain Living,Narrative Background,https://trove.nla.gov.au/newspaper/article/138092899,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Boldrewood, Rolf",1884-05-31,1884-10-04,None
Glen Athos,13331_4_3_1899_11_V__155447655.txt,,,None,,,0,,None,13331,Matching,The Kangaroo Flat Revival,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/155447655,"The Methodist (Sydney, NSW : 1892 - 1954)",Tom Bluegum,1899-02-04,1899-04-29,
Queensland,13306_26_12_1885_18_I -IV_None_162822120.txt,121.2023,-31.02926,WA,0,0,1,100,exact,13306,Matching,Jenny. A Story of the North Queensland Plantations,Part of Speech,https://trove.nla.gov.au/newspaper/article/162822120,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Bevan, Edward",1885-12-26,1885-12-26,
Australasia,13217_9_10_1880_678_XXVI__161916291.txt,,,None,,,0,,None,13217,Matching,Mr Moore,Narrative Background,https://trove.nla.gov.au/newspaper/article/161916291,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),"Palmer-Archer, Laura M.",1880-07-24,1880-10-30,
,,,,,,,,,,,Non-matching,Baffled. An Australian Story,Narrative Background,https://trove.nla.gov.au/newspaper/article/71104261,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)",A. E. C.,1888-10-20,1888-11-03,unclear
Wellington,13144_31_7_1891_7_4. VI_A MURDERED TRAVELLER_111981788.txt,149.0344444,-32.55013889,NSW,1.632192571,0.247363681,15,60,exact,13144,Matching,Old Convict Times to Gold-Mining Days. Complete History of Australian Life for 50 years,None,https://trove.nla.gov.au/newspaper/article/111981788,"Evening News (Sydney, NSW : 1869 - 1931)","A Now Living Ex-Convict, aged 72",1891-07-11,1891-09-05,
Corong,13144_3_8_1891_7_4. X_FIGHTING A BUSH FIRE_111983384.txt,145.9941667,-33.1698515,NSW,2.596706914,2.00531377,15,80,fuzzy,13144,Matching,Old Convict Times to Gold-Mining Days. Complete History of Australian Life for 50 years,Narrative Background,https://trove.nla.gov.au/newspaper/article/111983384,"Evening News (Sydney, NSW : 1869 - 1931)","A Now Living Ex-Convict, aged 72",1891-07-11,1891-09-05,"Mallee, Victoria"
Melbourne,13144_1_8_1891_7_4. X_FIGHTING A BUSH FIRE_111984418.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,13144,Matching,Old Convict Times to Gold-Mining Days. Complete History of Australian Life for 50 years,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/111984418,"Evening News (Sydney, NSW : 1869 - 1931)","A Now Living Ex-Convict, aged 72",1891-07-11,1891-09-05,"Mallee, Victoria"
Port Sorrell,13144_29_7_1891_7_I_STRANGE ESCAPES_111985278.txt,146.5600052,-41.17499924,TAS,0.018028414,0.018028414,3,66.66666667,fuzzy,13144,Matching,Old Convict Times to Gold-Mining Days. Complete History of Australian Life for 50 years,None,https://trove.nla.gov.au/newspaper/article/111985278,"Evening News (Sydney, NSW : 1869 - 1931)","A Now Living Ex-Convict, aged 72",1891-07-11,1891-09-05,
Watah,13029_20_7_1894_6_XIII__144822387.txt,,,None,,,0,,None,13029,Matching,"Curlew, or In Days Gone By",Narrative Background,https://trove.nla.gov.au/newspaper/article/144822387,"The Wyalong Star and Temora and Barmedman Advertiser (West Wyalong, NSW : 1894 - 1895; 1899 - 1906)","Brees, Harold",1894-06-15,1894-07-27,Gisborne/Mt Macedon/ Hanging Rock
Blackridge,13028_29_6_1894_2_V__110239047.txt,147.6580556,-22.55722222,QLD,0,0,1,100,exact,13028,Matching,"Curlew, or In Days Gone By",Narrative Background,https://trove.nla.gov.au/newspaper/article/110239047,PetersburgTimes (SA : 1887 - 1919),"Brees, Harold",1894-05-11,1894-08-24,Gisborne/Mt Macedon/ Hanging Rock
Arrah,13028_10_8_1894_2_IX__110239514.txt,150.6594444,-31.565,Ambiguous,3.821264951,4.445188199,18,,fuzzy,13028,Matching,"Curlew, or In Days Gone By",Narrative Background,https://trove.nla.gov.au/newspaper/article/110239514,PetersburgTimes (SA : 1887 - 1919),"Brees, Harold",1894-05-11,1894-08-24,Gisborne/Mt Macedon/ Hanging Rock
Melbourne,13028_24_8_1894_2_XIV__110239661.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,13028,Matching,"Curlew, or In Days Gone By",Narrative Background,https://trove.nla.gov.au/newspaper/article/110239661,PetersburgTimes (SA : 1887 - 1919),"Brees, Harold",1894-05-11,1894-08-24,Gisborne/Mt Macedon/ Hanging Rock
Gisborne,13026_21_07_1894_9_XIII. (CONTINUED.) & XIV_THE ATTEMPTED ABDUCTION & NONE_85651222.txt,144.5932007,-37.48764038,VIC,0.008747448,0.0033417,5,100,exact,13026,Matching,"Curlew, or In Days Gone By",Narrative Background,https://trove.nla.gov.au/newspaper/article/85651222,"The Cumberland Argus and Fruitgrowers Advocate (Parramatta, NSW : 1888 - 1950)","Brees, Harold",1894-04-07,1894-07-28,Gisborne/Mt Macedon/ Hanging Rock
Gisborne,13026_7_07_1894_9_X_THE QUARREL._85651778.txt,144.5932007,-37.48764038,VIC,0.008747448,0.0033417,5,100,exact,13026,Matching,"Curlew, or In Days Gone By",Narrative Background,https://trove.nla.gov.au/newspaper/article/85651778,"The Cumberland Argus and Fruitgrowers Advocate (Parramatta, NSW : 1888 - 1950)","Brees, Harold",1894-04-07,1894-07-28,Gisborne/Mt Macedon/ Hanging Rock
Queensland,13001_1_4_1893_2_I_The Homestead._112605273.txt,121.2023,-31.02926,WA,0,0,1,100,exact,13001,Matching,Frank Halyard's Disappearance,Narrative Background,https://trove.nla.gov.au/newspaper/article/112605273,"Evening News (Sydney, NSW : 1869 - 1931)",A. M. M.,1893-04-01,1893-04-04,"Tiaro, Qld (nearMaryborough)"
Queensland,13000_4_03_1893_33_I_The Homestead._71196115.txt,121.2023,-31.02926,WA,0,0,1,100,exact,13000,Matching,Frank Halyard's Disappearance,Narrative Background,https://trove.nla.gov.au/newspaper/article/71196115,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)",A. M. M.,1893-03-04,1893-04-01,"Tiaro, Qld (nearMaryborough)"
London,12897_1_3_1879_6_XIII_THE GREEN-EYED MONSTER._143005428.txt,-0.127758,51.5074,No best estimate,0,0,1,100,exact,12897,Matching,In Two Years' Time,Narrative Background,https://trove.nla.gov.au/newspaper/article/143005428,"The Australasian (Melbourne, Vic. : 1864 - 1946)","Cambridge, Ada",1879-01-04,1879-04-05,None
London,12839_9_9_1895_4_XXVII__121318556.txt,-0.127758,51.5074,No best estimate,0,0,1,100,exact,12839,Matching,At Great Cost,None,https://trove.nla.gov.au/newspaper/article/121318556,The Maitland Daily Mercury (NSW : 1894 - 1939),"Rowlands, Effie Adelaide",1895-07-25,1895-09-20,
Melbourne,12820_6_02_1879_9_III_A unpleasant passage - Melbourne again - The Australian Derby and Melbourne Cup -The Lawn on the Cup_29368010.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,12820,Matching,Round the World: Notes of Travel in Out-of-the-Way Places,Narrative Background,https://trove.nla.gov.au/newspaper/article/29368010,"The South Australian Advertiser (Adelaide, SA : 1858 - 1889)",A South Australian,1879-01-16,1879-09-10,"Hills near Port Macquarie,Queensland"
Mount Barker,12800_28_2_1868_4_XXXV_BEAUTY FOR ASHES._108263966.txt,127.17301,-34.64287,Ambiguous,10.25888574,9.544995952,8,,exact,12800,Matching,Golden Gifts,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/108263966,Kapunda Herald and Northern Intelligencer (SA : 1864 - 1878),"Franc, Maud Jeanne",1867-05-24,1868-03-06,"Mount Barker Road, Adelaide, SA"
Guinea,12703_29_8_1896_14_V __132406112.txt,149.5344444,-36.19833333,NSW,0,0,1,100,exact,12703,Matching,The Young Ventriloquist: In Seven Chapters,Part of Speech,https://trove.nla.gov.au/newspaper/article/132406112,The Maitland Weekly Mercury (NSW : 1892-1931),Rita,1896-08-01,1896-09-12,
,,,,,,,,,,,Non-matching,The Viking's Rock,Part of Speech,https://trove.nla.gov.au/newspaper/article/112409425,Bowral Free Press and Berrima District Intelligencer (NSW : 1884 - 1901),Rita,1885-07-18,1885-09-19,Australia
Glenelg Inn,12638_18_3_1882_37_II__160155333.txt,,,None,,,0,,None,12638,Matching,The River's Secret,Narrative Background,https://trove.nla.gov.au/newspaper/article/160155333,Adelaide Observer (SA : 1843 - 1904),Rita,1882-03-18,1882-04-01,Casterton
Greek,12261_16_10_1886_9_I__84119510.txt,,,None,,,0,,None,12261,Matching,Lost and Won by a Half Neck: A Tale of Western Love,Narrative Background,https://trove.nla.gov.au/newspaper/article/84119510,"Queensland Figaro and Punch (Brisbane, Qld. : 1885 - 1889)",Unknown,1886-10-16,1886-10-16,Cooper's Creek
Sydney,12051_2_12_1871_1273_XVI__164374170.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,12051,Matching,Caleb Thornton,Narrative Background,https://trove.nla.gov.au/newspaper/article/164374170,The Sydney Mail and New South Wales Advertiser (NSW : 1871 - 1912),Rita,1871-10-07,1872-03-30,Macedon
Harglen,11611_21_4_1911_3_VI__101608984.txt,,,None,,,0,,None,11611,Matching,Maurice Fitz-Morriss,Narrative Background,https://trove.nla.gov.au/newspaper/article/101608984,The Burrowa News (NSW : 1874 - 1951),"Ibson, Vincent G.",24/3/11,1/9/11,
JUNOR,11589_19_10_1900_6_III_THE CAVE OF GEZO. II.-IN THE GLORY OF GREAT ENTERPRISE. _100409203.txt,,,None,,,0,,None,11589,Matching,"Richard Brice, Adventurer",Narrative Background,https://trove.nla.gov.au/newspaper/article/100409203,Goulburn Herald (NSW : 1881 - 1907),"Junor, Charles",3/8/00,14/12/00,
Norham,11571_11_10_1900_3_XIX_A Bash Fire._96946978.txt,149.8833333,-25.51666667,QLD,0,0,1,100,exact,11571,Matching,Lights and Shadows,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/96946978,"Southern Argus (Port Elliot, SA : 1866 - 1954)","Keith, Kyra",7/6/00,15/11/00,
Wyalong,11561_24_07_1903_3_IV__90318419.txt,147.2261111,-33.92333333,NSW,0.028435445,0.02151555,5,80,exact,11561,Matching,The Hermit of Myalong: A Romance of the Australian Alps,Narrative Background,https://trove.nla.gov.au/newspaper/article/90318419,"Reporter (Box Hill, Vic. : 1889 - 1918)","Robinson, Jean C.",19/6/03,2/9/04,
Japanese,11515_18_9_1909_49_XVIII__88312488.txt,,,None,,,0,,None,11515,Matching,Cut Off From the World,Part of Speech,https://trove.nla.gov.au/newspaper/article/88312488,"Chronicle (Adelaide, SA : 1895 - 1954)","Bullen, Frank T.",17/7/09,23/10/09,
Afghan,11510_30_11_1907_49_V_HOLDING UP THE CAMEL TEAM._88428662.txt,139.6333333,-25.58333333,QLD,0,0,1,100,exact,11510,Matching,A Lindsay O' the Dale,Narrative Background,https://trove.nla.gov.au/newspaper/article/88428662,"Chronicle (Adelaide, SA : 1895 - 1954)","Hales, A. G.",2/11/07,29/2/08,
Long Gully,11491_5_9_1903_45_XIII_SPRINGTIME._87868038.txt,148.6844444,-32.54833333,Ambiguous,5.359101625,4.609199738,153,,exact,11491,Matching,Chances and Changes,Part of Speech,https://trove.nla.gov.au/newspaper/article/87868038,"Chronicle (Adelaide, SA : 1895 - 1954)","Loiv, T. E.",25/7/03,26/9/03,
New South Wales,11432_23_11_1912_14_XIV_WELCOME HOME._85846996.txt,147.0177778,-32.16166667,NSW,0,0,1,100,exact,11432,Matching,Tales of the Pioneers: Cameron's Folly,Narrative Background,https://trove.nla.gov.au/newspaper/article/85846996,Windsor and Richmond Gazette (NSW : 1888 - 1954),"Bowling, E. J.",7/9/12,30/11/12,
Sydney,11336_20_4_1908_4_II__77259995.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,11336,Matching,A Masquerader,Narrative Background,https://trove.nla.gov.au/newspaper/article/77259995,"The Daily News (Perth, WA : 1882 - 1950)","Skae, Mabel",20/4/08,9/5/08,
Melbourne,11323_27_08_1910_50_XI_UBIQUB SETTLES WITH A FALSE FRIEND._88503623.txt,144.9752778,-37.82986111,VIC,0.012223011,0.012223011,5,40,exact,11323,Matching,Ubique: The Scientific Bushranger,Part of Speech,https://trove.nla.gov.au/newspaper/article/88503623,"Chronicle (Adelaide, SA : 1895 - 1954)","Martin, Clarence W.",9/7/10,10/9/10,
Kuryong,11196_17_02_1900_33_IX_The []oyles and the []onohoes._71376267.txt,,,None,,,0,,None,11196,Matching,In No-Man's Land: An Australian Story,Part of Speech,https://trove.nla.gov.au/newspaper/article/71376267,"Australian Town and Country Journal (Sydney, NSW : 1870 - 1907)","Paterson, A. B.",13/1/00,2/6/00,
,,,,,,,,,,,Non-matching,Laid upon an Altar,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/59637107,The Mail (Adelaide),"De L'Isle, F. D'A. C.",8/12/13,8/12/13,
Wyalong,10785_23_10_1908_6_V _SPORT._45038727.txt,147.2261111,-33.92333333,NSW,0.028435445,0.02151555,5,80,exact,10785,Matching,All for Gold: A Story of the Wyalong Rush,Narrative Background,https://trove.nla.gov.au/newspaper/article/45038727,"Barrier Miner (Broken Hill, NSW : 1888 - 1954)","Leigh, Gordon",25/9/08,20/11/08,
,,,,,,,,,,,Non-matching,An Australian Lochinvar,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/37814646,"Western Mail (Perth, WA : 1885 - 1954)","Watson, C. G.",19/12/08,19/12/08,
Bald Hills,10595_5_12_1908_12_XVI _We Join Ben Hall - An Adventure with Sir Frederick Pottinger_103466080.txt,149.2677778,-33.03166667,Ambiguous,5.558535531,4.300712119,40,,exact,10595,Matching,"John Vane, Bushranger",Part of Speech,https://trove.nla.gov.au/newspaper/article/103466080,"The Arrow (Sydney, NSW : 1896 - 1912)","White, Charles",31/10/08,13/2/09,
Sydney,10489_10_8_1907_46_XXXVI __37810750.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,10489,Matching,The Education of Clothilde,Narrative Background,https://trove.nla.gov.au/newspaper/article/37810750,"Western Mail (Perth, WA : 1885 - 1954)","Partrige, Sydney  and Warren, Cecil",26/1/07,14/9/07,
Aldgate,10417_5_01_1901_76_I_INSATIABLE SUMMER OPPRESSES._33198335.txt,138.73903,-35.01573,SA,0,0,1,100,exact,10417,Matching,Neva.,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/33198335,"Western Mail (Perth, WA : 1885 - 1954)","Rosman, Alice Grant",5/1/01,5/1/01,
Winnipeg,10359_26_01_1912_3_XII__31392947.txt,,,None,,,0,,None,10359,Matching,Canada through Australian Spectacles. Winnipeg,Narrative Background,https://trove.nla.gov.au/newspaper/article/31392947,Queanbeyan Age,"McMillan, Robert",10/11/11,1/3/12,
,,,,,,,,,,,Non-matching,Fate and Patricia,Narrative Background,https://trove.nla.gov.au/newspaper/article/31185175,The Age,"Rosman, Alice Grant",10/9/07,31/12/07,
London,10331_24_12_1907_6_XII__31185466.txt,-0.127758,51.5074,No best estimate,0,0,1,100,exact,10331,Matching,Fate and Patricia,Narrative Background,https://trove.nla.gov.au/newspaper/article/31185466,The Age,"Rosman, Alice Grant",10/9/07,31/12/07,
Providence,10256_13_06_1908_4_I__28843895.txt,146.8592933,-34.25092625,NSW,0.686901287,0.686901287,2,100,exact,10256,Matching,The Peacemakers,Narrative Foreground,https://trove.nla.gov.au/newspaper/article/28843895,"The West Australian (Perth, WA : 1879 - 1954)","Weston, Kate Helen",13/6/08,13/6/08,
